study_hours_per_week,attendance_rate,previous_gpa,sleep_hours,parental_support,extracurricular,part_time_job,gender,final_score
11.7,96.2,2.94,9.5,Medium,Yes,Yes,Female,100.0
9.2,78.4,3.04,9.6,Medium,No,No,Male,87.9
11.3,88.6,3.29,7.1,Low,No,Yes,Male,100.0
11.4,71.1,2.51,7.1,Medium,Yes,Yes,Female,89.6
15.3,99.4,3.37,6.5,High,No,No,Male,100.0
8.6,83.6,3.41,8.4,Low,Yes,No,Female,94.6
4.1,87.9,4.0,6.6,Medium,Yes,No,Female,100.0
14.3,100.0,2.81,6.5,Low,No,No,Male,97.5
8.7,100.0,2.77,8.3,Low,No,Yes,Female,83.9
14.5,81.9,3.38,6.3,High,No,No,Male,100.0
11.5,79.1,3.41,7.0,Medium,No,No,Male,93.4
9.5,81.7,2.73,4.9,Medium,No,Yes,Female,81.9
11.4,90.1,2.8,7.9,Medium,Yes,No,Male,100.0
17.8,83.9,3.27,9.5,High,No,Yes,Male,100.0
18.3,81.0,2.59,7.9,Medium,No,No,Male,100.0
10.3,99.7,2.79,8.9,Medium,No,No,Female,96.6
10.6,83.9,3.04,5.9,Medium,No,Yes,Male,91.5
14.3,100.0,3.5,7.3,Low,Yes,No,Male,100.0
6.6,85.9,2.7,5.8,Medium,Yes,Yes,Male,83.3
11.3,100.0,2.08,6.7,Low,Yes,No,Female,88.8
9.9,88.6,2.04,8.0,Medium,Yes,Yes,Female,95.1
11.3,94.6,2.37,7.1,Medium,No,Yes,Female,94.6
6.7,77.8,2.34,5.2,Medium,No,No,Female,92.9
3.6,76.5,2.92,5.3,High,Yes,No,Female,82.4
1.7,89.6,2.41,5.2,Medium,Yes,Yes,Male,80.9
5.5,94.9,2.65,7.6,Low,No,No,Male,91.8
8.2,85.4,2.61,9.7,Medium,Yes,Yes,Female,86.0
8.8,72.1,2.78,8.8,High,No,No,Male,88.4
17.7,71.4,3.66,4.5,Low,Yes,No,Male,100.0
14.4,70.7,3.33,8.8,Medium,Yes,Yes,Male,100.0
6.2,67.3,3.01,8.2,High,Yes,No,Male,82.5
11.4,86.1,2.77,5.0,Low,No,No,Female,87.0
8.4,96.3,2.78,6.6,Medium,Yes,No,Male,83.6
8.9,84.9,3.16,8.4,High,No,No,Female,100.0
10.7,62.4,3.29,7.7,Low,Yes,No,Male,91.6
12.5,83.1,2.55,5.3,Medium,Yes,No,Male,96.6
8.6,83.4,3.02,7.8,Medium,No,No,Female,85.7
14.3,100.0,1.98,4.2,Medium,Yes,No,Male,94.6
5.4,70.4,3.11,6.7,High,Yes,No,Male,87.2
10.0,81.1,3.38,8.5,Low,No,No,Male,91.1
20.4,100.0,2.86,7.0,Medium,No,No,Female,100.0
10.9,89.5,3.91,6.4,High,Yes,No,Female,100.0
15.7,90.6,2.56,8.2,Low,Yes,No,Male,100.0
10.4,86.1,3.11,8.3,High,No,No,Female,100.0
12.3,88.3,2.98,8.7,Low,No,No,Female,100.0
9.8,92.8,2.95,8.1,Medium,No,No,Male,93.6
9.3,76.9,2.94,8.4,Low,No,No,Female,81.2
6.9,93.8,3.05,8.0,Medium,No,No,Female,91.8
11.7,71.3,3.42,7.3,High,Yes,No,Male,95.8
6.6,88.3,3.69,7.1,High,Yes,No,Male,100.0
12.7,86.8,3.0,6.7,High,No,Yes,Male,98.6
14.3,78.8,3.41,5.4,Medium,No,No,Female,93.7
11.5,84.8,2.65,5.8,High,No,Yes,Female,100.0
8.9,78.8,3.38,6.6,Medium,No,Yes,Male,90.2
11.8,74.3,2.62,7.3,High,Yes,No,Female,91.6
8.8,81.5,3.55,8.9,Medium,No,No,Male,100.0
13.7,74.0,4.0,6.9,High,No,No,Male,100.0
2.7,88.2,2.94,8.3,Low,No,Yes,Female,84.0
8.7,73.5,1.9,8.4,Medium,No,No,Female,80.6
2.0,92.1,2.73,6.7,Medium,No,No,Male,79.4
4.0,73.2,3.62,7.8,Low,Yes,No,Male,87.1
15.5,79.3,3.28,6.7,Low,No,No,Male,100.0
13.6,78.8,3.12,8.7,High,No,No,Male,100.0
7.1,98.3,3.5,7.8,Medium,No,Yes,Female,95.6
4.0,,3.24,5.5,Low,No,Yes,Female,82.8
0.0,82.9,3.61,7.2,Medium,No,Yes,Male,83.8
7.8,90.0,3.46,9.1,Medium,No,No,Male,96.4
19.7,,3.76,6.8,Medium,No,Yes,Female,100.0
11.7,84.6,3.18,7.6,High,Yes,Yes,Male,96.5
7.8,,3.45,7.7,High,No,Yes,Female,99.4
11.9,86.3,2.85,5.7,Medium,No,Yes,Male,96.0
3.8,85.7,2.7,7.7,Medium,No,No,Male,82.1
8.8,90.5,3.85,5.2,Medium,No,Yes,Male,100.0
10.4,94.0,3.11,6.2,High,Yes,No,Male,96.6
9.7,65.0,3.4,8.4,Low,No,Yes,Male,96.2
13.2,68.2,3.06,7.5,Low,No,Yes,Female,94.0
11.4,87.1,2.71,6.6,High,No,Yes,Male,100.0
12.7,77.9,3.01,7.6,High,Yes,No,Female,100.0
7.2,98.1,3.72,6.9,Medium,No,Yes,Female,88.9
13.6,81.8,3.28,7.0,Medium,Yes,No,Female,100.0
16.5,65.7,2.14,7.9,Medium,No,Yes,Female,98.3
6.1,72.3,2.89,6.1,Medium,No,No,Male,88.1
6.4,57.5,3.89,7.1,Medium,Yes,Yes,Male,87.3
15.3,82.7,2.89,6.6,Low,No,No,Female,90.6
9.2,83.1,2.1,4.9,Medium,No,No,Male,79.2
15.6,80.8,3.95,5.8,Medium,No,Yes,Female,100.0
8.2,95.8,3.34,9.0,Medium,Yes,Yes,Female,91.0
15.8,97.0,2.96,7.5,Low,No,No,Male,100.0
10.5,83.3,2.81,5.3,High,Yes,Yes,Male,91.8
11.0,63.7,3.54,5.0,Medium,No,Yes,Male,91.1
16.3,91.2,2.73,6.9,High,No,No,Male,100.0
8.6,90.6,3.57,9.0,Low,Yes,Yes,Male,90.0
6.2,88.1,3.27,6.8,Medium,No,No,Female,99.9
8.2,94.8,3.12,8.7,High,No,No,Female,99.1
11.8,73.4,3.07,7.5,Medium,No,No,Male,100.0
3.7,100.0,2.91,7.6,Low,Yes,Yes,Female,84.2
12.5,75.4,3.52,5.3,Medium,Yes,No,Female,100.0
7.8,92.5,2.57,8.2,Medium,No,No,Female,99.7
14.6,68.1,2.19,6.6,Medium,Yes,Yes,Female,94.2
0.4,75.7,3.31,8.1,Medium,No,No,Male,87.4
6.9,100.0,3.32,5.9,Medium,Yes,No,Female,93.8
3.3,82.4,3.24,7.2,Medium,Yes,No,Male,90.9
6.7,93.4,3.2,7.5,Low,No,Yes,Male,92.0
11.0,87.4,2.84,6.8,Medium,Yes,Yes,Male,92.0
9.3,84.0,3.39,7.5,Medium,No,No,Male,99.1
9.0,98.6,2.98,6.7,Low,Yes,No,Female,96.2
9.4,82.6,2.76,6.2,Low,No,No,Male,85.2
10.8,67.2,2.84,9.1,Low,Yes,Yes,Female,89.7
6.0,77.0,4.0,8.4,Low,No,No,Female,90.7
12.8,90.5,2.13,6.0,Medium,No,Yes,Male,94.4
12.7,89.0,3.25,7.7,Low,Yes,No,Female,100.0
11.5,69.3,2.16,6.0,Medium,No,No,Female,88.9
12.2,77.8,2.95,5.5,High,Yes,Yes,Female,97.3
11.2,79.2,2.78,8.3,High,No,Yes,Male,97.3
18.1,81.3,1.96,4.8,Low,Yes,Yes,Male,94.8
9.7,71.2,3.19,8.2,Medium,No,No,Male,100.0
8.8,78.7,2.81,6.7,Medium,Yes,No,Female,85.8
7.0,77.7,1.95,6.7,High,No,No,Female,82.9
5.9,92.7,3.42,7.5,High,No,No,Female,94.7
5.0,93.1,3.72,7.8,Low,No,No,Male,100.0
6.4,83.5,3.75,5.9,Low,Yes,No,Female,85.0
9.7,81.1,3.18,7.9,Medium,Yes,No,Male,99.9
11.3,86.4,3.02,7.1,High,Yes,No,Female,100.0
10.2,76.8,3.66,5.4,High,No,No,Female,100.0
6.9,73.5,3.84,6.8,Low,No,No,Male,96.2
13.6,75.6,3.57,8.8,Medium,Yes,No,Male,100.0
13.0,78.7,2.53,9.2,Low,No,No,Male,90.9
9.4,73.4,3.1,7.9,Medium,No,No,Female,94.2
7.4,86.6,3.22,5.5,High,Yes,No,Female,87.0
12.2,,2.1,7.6,Medium,No,Yes,Male,93.8
10.8,69.1,3.23,8.1,Low,Yes,No,Male,89.8
4.2,85.3,4.0,7.9,Medium,Yes,Yes,Male,90.9
9.7,82.8,3.32,8.0,Medium,No,No,Male,89.1
11.0,88.4,3.74,7.5,High,Yes,No,Female,100.0
6.4,84.9,3.09,6.9,Medium,No,No,Male,82.1
10.8,70.5,2.96,6.2,High,No,Yes,Female,95.0
4.2,72.4,3.19,4.5,Medium,No,No,Male,75.1
15.3,85.3,2.59,7.4,Low,No,No,Female,97.2
15.0,95.3,2.52,7.2,Medium,No,No,Female,100.0
9.0,62.9,3.63,7.7,Low,Yes,No,Male,94.9
11.5,88.5,3.69,5.3,Medium,No,No,Male,100.0
0.4,96.9,2.5,7.8,Medium,No,No,Female,87.3
5.4,83.5,3.48,9.7,Low,No,Yes,Male,80.0
8.8,90.5,2.96,7.1,Low,Yes,No,Male,100.0
5.7,78.0,3.17,6.9,Low,No,No,Female,77.8
12.9,83.8,3.23,7.4,Low,No,Yes,Male,100.0
18.0,68.8,3.5,9.6,High,Yes,No,Female,100.0
5.3,61.6,3.04,5.7,High,No,No,Female,79.3
6.7,94.4,3.71,7.3,Low,Yes,No,Male,99.1
10.9,75.2,3.15,6.0,High,Yes,No,Male,100.0
16.4,,3.31,6.3,Medium,No,No,Male,100.0
5.1,71.1,2.58,6.9,High,No,Yes,Male,83.9
11.0,70.9,4.0,8.8,Medium,Yes,No,Male,100.0
17.3,83.3,3.23,9.3,Medium,Yes,No,Female,100.0
3.4,77.7,3.36,7.6,Medium,Yes,No,Male,88.6
4.9,88.8,2.2,6.5,High,No,No,Male,88.7
8.3,89.5,2.59,10.0,Medium,No,No,Male,90.9
7.9,88.2,3.62,6.4,Medium,No,No,Male,100.0
13.3,87.4,3.14,6.3,Low,Yes,Yes,Male,91.4
11.0,,2.04,4.7,Medium,No,No,Male,88.9
2.9,74.3,3.52,8.8,High,No,No,Female,79.4
12.1,84.5,2.73,8.3,Medium,No,No,Female,99.7
7.7,96.3,3.71,10.0,Medium,Yes,Yes,Female,100.0
15.1,97.6,2.96,5.2,Medium,Yes,No,Female,100.0
7.5,70.8,3.1,8.9,Medium,No,Yes,Female,86.8
7.5,81.9,3.59,7.1,Medium,No,No,Male,98.7
12.2,98.6,2.55,8.0,High,Yes,No,Male,95.4
13.1,90.1,2.5,4.9,High,No,Yes,Female,96.3
11.8,87.0,2.9,8.9,Medium,Yes,No,Male,100.0
3.3,82.8,3.41,8.0,Medium,Yes,No,Female,73.4
12.2,81.2,2.33,6.9,Medium,No,Yes,Female,88.6
5.9,87.9,2.17,7.8,Low,No,No,Male,87.6
10.9,82.5,3.41,6.0,Medium,No,No,Female,100.0
4.3,84.6,2.7,6.2,Low,No,Yes,Female,80.5
11.8,85.8,2.8,6.4,Medium,No,No,Female,100.0
6.8,78.2,2.07,4.6,Low,Yes,No,Male,80.3
4.9,90.3,2.66,8.1,Medium,No,Yes,Male,87.3
12.9,100.0,3.0,8.5,High,No,Yes,Male,100.0
11.0,67.2,3.47,6.1,Low,No,No,Male,93.2
7.5,88.2,2.61,7.5,Medium,No,No,Female,88.1
15.8,77.4,3.83,6.7,High,No,No,Female,100.0
8.2,90.8,2.66,7.4,Medium,Yes,No,Male,100.0
10.1,85.5,2.66,6.2,Low,Yes,No,Female,99.4
11.1,92.6,3.77,5.9,Medium,No,No,Female,100.0
7.5,96.8,3.11,8.4,Medium,No,No,Male,90.6
11.9,86.9,2.72,6.9,Medium,Yes,No,Male,100.0
7.9,96.3,2.92,9.6,Low,Yes,No,Female,94.4
8.4,61.6,3.68,7.1,Medium,No,No,Female,93.6
15.5,100.0,3.73,5.8,Medium,Yes,No,Female,100.0
5.8,88.8,2.59,8.6,Medium,Yes,No,Female,90.6
0.3,95.8,2.98,7.8,Medium,No,Yes,Female,74.6
16.4,72.8,3.05,7.9,Low,No,No,Female,100.0
20.2,76.7,2.51,8.5,Medium,No,No,Male,100.0
8.4,86.5,2.97,6.2,High,No,Yes,Female,100.0
2.3,84.8,3.0,6.8,Medium,Yes,Yes,Female,85.5
8.8,87.8,3.57,6.8,Medium,No,No,Male,91.4
8.9,95.8,3.6,5.3,Medium,Yes,No,Female,100.0
9.2,67.3,2.84,6.7,Medium,Yes,No,Female,100.0
5.5,94.7,2.89,8.7,High,No,No,Male,88.2
12.3,85.1,3.33,7.3,Medium,No,No,Male,100.0
12.1,83.0,2.71,5.3,Low,No,No,Female,100.0
4.0,70.3,3.29,5.0,High,Yes,Yes,Female,87.1
12.8,90.0,2.96,9.2,Medium,No,No,Female,100.0
18.2,60.9,2.52,6.9,Medium,No,Yes,Male,96.7
10.7,91.5,2.52,6.2,Low,No,No,Female,87.7
8.7,70.1,3.72,6.6,Low,No,No,Male,97.5
9.4,85.5,2.92,5.1,Medium,Yes,No,Male,88.5
12.5,83.8,3.82,8.9,Low,No,No,Male,100.0
3.1,,2.74,6.5,Low,No,No,Female,78.4
10.7,83.2,3.15,8.8,High,No,Yes,Female,100.0
8.4,78.1,4.0,7.1,Medium,No,Yes,Male,99.3
17.4,79.9,2.47,8.9,Low,No,Yes,Male,100.0
9.3,97.7,2.05,7.3,Low,Yes,Yes,Male,87.8
16.7,90.4,3.64,8.1,Medium,Yes,No,Male,100.0
5.6,81.1,2.59,7.9,Medium,No,No,Male,100.0
12.3,82.6,2.99,7.8,High,No,No,Female,100.0
11.3,69.3,2.71,7.5,Low,No,No,Male,91.3
6.5,88.9,3.13,6.7,Low,Yes,Yes,Male,81.8
10.7,67.4,2.52,9.5,Medium,Yes,Yes,Male,85.2
14.9,92.5,2.91,5.8,Medium,No,No,Female,100.0
8.7,86.3,3.22,7.0,Medium,No,No,Male,93.3
3.2,100.0,2.5,7.0,High,Yes,No,Male,89.6
9.9,74.0,2.65,7.5,Medium,No,Yes,Female,99.1
6.4,84.0,2.83,6.4,Medium,Yes,No,Male,95.9
8.6,100.0,2.29,7.4,High,No,No,Male,96.3
9.7,96.9,2.79,6.8,Low,Yes,No,Female,90.0
3.2,78.0,3.06,4.9,High,Yes,Yes,Female,89.7
3.5,87.2,2.8,7.0,Medium,Yes,Yes,Female,83.6
11.9,85.0,2.86,5.6,Medium,No,No,Male,89.0
7.9,87.8,2.99,4.7,High,No,No,Male,97.4
0.0,78.0,2.67,7.2,Medium,No,No,Female,80.3
13.1,84.1,3.35,7.6,Medium,No,No,Female,92.5
11.1,69.0,3.72,7.7,Medium,No,No,Female,95.2
7.1,86.4,2.77,7.7,Medium,Yes,No,Female,91.7
4.7,89.5,3.24,4.5,Medium,No,No,Female,90.4
13.3,82.7,2.88,5.2,Low,Yes,No,Female,95.2
11.4,68.8,3.18,9.6,Medium,No,No,Female,90.2
19.5,94.9,3.78,5.6,Medium,No,No,Female,100.0
11.7,88.6,3.25,7.8,Medium,No,No,Female,100.0
11.6,77.7,2.11,6.1,Low,Yes,No,Female,92.4
9.3,82.2,3.23,7.1,Medium,No,No,Male,90.7
13.3,70.0,3.62,6.2,Low,Yes,No,Female,93.2
12.5,74.7,2.89,7.7,Low,Yes,No,Male,100.0
15.0,79.6,3.5,7.2,Medium,No,No,Male,100.0
7.9,97.3,2.65,6.4,Low,No,No,Male,94.8
8.3,78.6,2.26,5.6,Medium,No,No,Female,83.2
8.1,,3.07,7.3,Medium,Yes,No,Male,91.3
13.2,79.6,2.12,5.4,Medium,No,No,Male,100.0
16.0,87.5,2.88,7.6,High,No,No,Male,100.0
8.2,,3.64,10.0,High,No,No,Male,100.0
8.3,93.7,2.05,8.8,Medium,No,Yes,Male,93.7
11.3,79.7,2.36,7.9,High,Yes,No,Male,100.0
9.0,69.3,2.48,6.9,High,No,No,Female,87.3
13.8,71.2,2.97,4.5,Medium,No,No,Male,92.8
1.0,79.7,2.82,5.3,Medium,No,No,Female,74.9
6.7,72.5,3.7,8.7,Low,No,No,Female,81.5
6.9,89.1,3.48,6.0,Medium,No,No,Female,88.9
0.7,80.3,3.25,6.1,Medium,No,No,Female,82.4
6.1,100.0,3.07,6.8,Low,No,No,Female,93.9
6.3,67.6,3.2,5.6,Medium,Yes,No,Female,81.5
9.2,87.0,2.57,5.4,High,Yes,No,Male,99.1
14.5,73.7,3.43,6.9,Medium,No,No,Female,100.0
9.0,80.1,2.44,5.8,Low,No,No,Male,93.5
5.9,86.4,3.42,6.0,Low,No,No,Female,90.8
9.8,61.7,3.59,6.0,Medium,No,Yes,Female,96.1
14.2,87.4,3.11,7.7,High,No,No,Female,100.0
6.1,100.0,2.91,6.7,High,Yes,Yes,Female,99.9
6.4,80.5,3.2,6.8,Medium,No,No,Male,83.4
12.2,87.6,1.57,7.8,Low,No,No,Male,89.4
9.1,95.2,3.15,6.8,Low,No,No,Female,95.1
12.6,83.4,2.94,6.6,Medium,No,No,Male,98.9
9.9,79.2,2.97,7.6,High,No,No,Male,100.0
12.8,62.2,3.35,7.9,Medium,No,No,Male,100.0
5.9,91.4,2.96,6.8,Medium,No,No,Female,92.3
10.0,83.9,2.43,7.1,Medium,No,No,Male,92.1
9.2,74.9,2.93,6.0,Medium,Yes,No,Female,88.8
5.1,86.3,3.03,5.9,Medium,No,No,Male,92.6
3.7,79.2,3.06,8.0,Medium,No,Yes,Male,84.0
12.7,79.7,3.08,7.6,Medium,Yes,Yes,Male,95.7
8.6,91.1,3.52,7.6,Medium,No,No,Male,98.3
5.9,71.6,2.46,7.4,High,No,Yes,Female,75.4
9.6,95.5,3.09,7.1,Medium,No,No,Female,99.4
14.5,71.0,3.64,7.9,Low,No,Yes,Female,99.3
0.9,78.4,2.13,8.2,Low,Yes,No,Male,68.7
4.0,100.0,3.09,8.2,Medium,Yes,Yes,Female,97.4
6.3,96.3,2.71,6.9,Medium,Yes,Yes,Female,84.6
15.8,86.0,2.81,8.8,Medium,No,No,Female,100.0
11.1,75.6,2.55,7.3,Medium,No,No,Female,100.0
13.1,79.7,2.92,7.8,Medium,No,No,Female,100.0
5.4,85.7,3.92,7.4,Medium,No,No,Female,94.4
5.5,85.4,2.37,7.3,Medium,Yes,Yes,Male,79.1
11.8,84.1,2.42,6.0,Medium,Yes,No,Male,89.7
10.2,84.7,2.35,7.9,Medium,Yes,No,Female,92.6
12.2,82.9,3.86,10.0,Low,No,Yes,Female,94.4
9.2,70.6,2.77,6.5,Medium,Yes,No,Male,87.6
11.1,79.8,2.99,7.1,High,No,No,Male,98.8
10.6,94.1,2.8,6.4,High,No,No,Female,100.0
13.1,71.3,2.53,6.4,Medium,No,No,Female,97.7
13.2,83.1,2.88,9.0,Medium,Yes,No,Male,95.4
3.5,76.8,4.0,6.1,Medium,Yes,Yes,Female,84.0
1.0,86.1,3.7,6.4,Medium,No,No,Female,83.4
14.0,81.1,2.57,4.9,Medium,No,No,Female,96.9
14.8,99.8,3.32,6.0,High,Yes,Yes,Female,100.0
5.9,90.1,2.58,4.8,Low,No,Yes,Male,81.6
2.6,71.9,2.11,7.8,Low,No,No,Male,63.8
10.4,91.7,3.51,10.0,Low,No,No,Female,98.8
13.7,77.3,3.58,6.5,Low,Yes,No,Male,100.0
17.2,79.2,3.52,4.8,High,Yes,No,Male,100.0
12.1,88.1,2.77,8.2,Medium,Yes,No,Male,95.0
8.5,80.1,2.92,6.1,Medium,Yes,No,Female,100.0
6.4,93.9,3.37,8.7,Medium,No,No,Female,88.5
10.0,77.3,3.2,6.6,Medium,No,No,Male,98.8
8.8,78.8,2.8,6.2,Medium,No,Yes,Female,89.8
5.9,78.4,2.19,6.8,Low,No,Yes,Male,80.6
18.2,79.3,3.06,8.0,Medium,Yes,No,Male,100.0
17.1,96.0,3.54,6.7,Low,Yes,Yes,Female,100.0
14.5,91.3,2.4,6.4,High,No,No,Female,100.0
6.3,100.0,3.32,6.7,Low,No,No,Male,97.9
13.4,100.0,3.17,5.3,Medium,No,No,Male,100.0
12.6,74.7,3.38,7.5,High,Yes,No,Female,100.0
11.8,85.7,3.44,4.7,Low,Yes,No,Male,91.9
15.0,73.2,2.65,6.4,Low,Yes,Yes,Male,91.3
12.5,77.2,2.19,8.0,High,No,No,Male,97.7
13.0,78.7,2.73,7.4,Medium,No,Yes,Male,99.1
12.5,74.4,3.44,7.8,Medium,No,No,Female,93.0
11.4,74.5,2.73,6.9,Low,No,Yes,Male,92.2
2.9,83.6,2.65,8.5,Medium,Yes,Yes,Male,76.1
10.3,72.8,2.09,8.2,Medium,No,Yes,Male,92.9
7.8,93.4,3.88,7.6,High,Yes,No,Male,100.0
4.9,75.8,3.41,8.2,Medium,No,Yes,Male,79.8
16.7,100.0,3.38,8.0,High,No,No,Male,100.0
16.9,80.5,3.48,6.4,Medium,No,No,Male,100.0
15.4,85.7,3.29,5.3,Low,Yes,No,Female,100.0
11.0,72.0,2.88,7.5,Medium,No,No,Female,95.1
15.4,100.0,2.92,7.7,Low,No,Yes,Female,100.0
10.0,96.2,2.79,8.4,Medium,Yes,No,Male,100.0
10.8,,4.0,5.8,Medium,Yes,No,Female,98.8
5.6,71.5,3.28,5.8,Medium,No,No,Male,79.2
11.6,87.1,2.77,7.6,Low,Yes,No,Female,99.7
10.2,73.8,3.23,6.9,Medium,Yes,No,Male,91.6
4.8,99.6,2.49,4.5,Medium,Yes,No,Female,81.0
9.8,93.1,3.75,7.5,Medium,Yes,Yes,Male,100.0
9.7,86.0,2.67,4.6,Medium,No,No,Male,94.1
17.2,60.6,3.25,5.8,Low,No,Yes,Male,92.3
13.6,75.2,3.53,8.8,Medium,Yes,No,Female,100.0
10.0,91.9,3.19,9.4,Medium,No,No,Male,93.4
11.0,97.1,3.05,5.4,Medium,Yes,Yes,Male,100.0
10.2,96.1,3.01,6.6,Low,Yes,Yes,Female,100.0
9.2,69.1,2.97,7.1,Medium,Yes,No,Male,90.5
5.7,88.0,2.71,9.3,Medium,No,No,Male,89.2
9.4,95.2,2.78,6.4,Medium,No,No,Male,89.2
7.0,68.4,3.74,6.4,High,No,No,Male,90.5
5.0,84.9,2.95,9.0,High,Yes,No,Male,91.1
12.0,87.7,2.61,6.5,Low,Yes,No,Male,98.8
11.6,82.0,2.74,7.9,Medium,Yes,Yes,Female,96.3
2.9,66.5,3.55,5.1,Medium,No,No,Male,81.4
9.5,81.7,3.34,6.8,High,Yes,No,Female,100.0
14.0,81.7,3.28,4.8,Low,No,No,Male,98.3
14.2,83.5,2.87,5.6,Medium,No,No,Female,100.0
14.1,79.4,3.29,8.1,Medium,No,Yes,Male,100.0
10.2,80.6,2.68,6.9,Medium,No,Yes,Male,93.0
6.6,84.6,2.87,6.6,Medium,Yes,Yes,Male,90.7
5.7,89.4,3.48,6.0,Medium,No,Yes,Female,90.7
11.4,82.0,3.44,6.7,Low,Yes,No,Female,93.3
11.5,80.9,2.51,7.4,Medium,No,Yes,Female,88.9
15.1,85.9,2.57,8.3,High,No,No,Female,100.0
14.4,65.8,3.05,3.6,High,Yes,No,Male,100.0
9.5,89.8,3.86,5.9,Medium,No,No,Female,100.0
5.0,85.0,2.04,7.2,Medium,Yes,No,Female,81.6
8.7,85.4,3.14,6.9,Low,Yes,No,Female,94.8
10.9,94.6,2.31,7.5,High,No,No,Female,94.4
9.2,65.5,2.68,7.3,Medium,No,No,Male,95.4
7.7,65.3,2.82,6.6,Medium,No,No,Male,86.9
11.0,87.7,2.79,6.3,High,No,No,Male,96.7
8.0,84.9,2.73,6.7,Low,No,No,Female,87.2
7.5,86.7,3.0,8.5,Medium,Yes,No,Female,90.8
11.2,80.4,2.73,6.0,Low,Yes,No,Female,100.0
8.4,91.6,2.27,6.9,Low,No,No,Female,86.9
11.0,94.3,3.39,7.2,Medium,Yes,No,Male,100.0
11.1,89.8,3.38,9.0,Medium,No,No,Male,100.0
5.4,82.4,3.42,6.6,High,Yes,No,Male,90.7
8.1,63.9,2.23,8.2,Medium,Yes,No,Female,85.5
15.8,92.7,3.15,8.6,High,No,No,Female,100.0
5.4,97.2,3.34,6.9,Medium,No,No,Female,85.5
1.5,91.4,2.48,6.7,Medium,No,No,Female,80.9
2.6,76.2,3.0,6.6,High,No,Yes,Male,81.3
10.1,91.7,2.94,6.7,Medium,Yes,No,Female,99.9
10.1,93.6,3.92,8.1,Medium,No,No,Female,100.0
9.5,100.0,3.96,7.3,Low,Yes,No,Female,100.0
14.9,76.2,2.17,7.3,Medium,No,No,Female,100.0
0.0,82.7,4.0,5.5,High,Yes,No,Female,80.9
11.6,92.5,2.54,5.7,Medium,No,No,Male,95.4
16.2,85.6,3.49,9.8,Medium,Yes,Yes,Female,100.0
5.5,73.8,3.49,6.8,Low,No,Yes,Male,85.8
8.5,89.1,2.5,6.0,Medium,No,No,Female,93.1
7.0,90.8,3.25,8.9,Medium,No,No,Female,100.0
6.4,85.9,2.95,7.4,Medium,Yes,No,Female,95.1
8.7,87.2,3.28,7.8,High,No,Yes,Male,100.0
15.7,82.4,3.12,6.8,Medium,Yes,No,Male,100.0
17.3,99.8,3.6,6.6,High,Yes,No,Female,100.0
8.7,76.0,3.04,6.8,Medium,Yes,No,Female,91.9
17.6,79.1,2.92,5.2,Medium,Yes,No,Male,100.0
10.1,85.1,3.55,6.9,Low,No,No,Female,99.1
17.0,93.8,3.29,7.4,Medium,Yes,No,Female,100.0
9.6,70.0,3.37,9.4,Medium,Yes,No,Female,93.2
10.5,71.9,2.67,7.1,Medium,No,Yes,Male,88.6
11.5,64.6,2.48,4.0,Low,No,Yes,Female,81.5
22.7,85.3,2.72,6.9,High,No,No,Male,100.0
13.4,73.8,2.69,10.0,Low,No,No,Female,96.9
7.2,81.2,3.39,8.1,Medium,Yes,No,Female,89.3
13.9,91.6,3.49,5.9,High,No,No,Male,100.0
8.6,78.6,2.92,7.8,Medium,Yes,No,Female,90.5
8.0,87.3,3.72,6.0,High,Yes,No,Male,100.0
13.6,82.0,3.68,5.2,Medium,Yes,No,Female,100.0
10.1,91.7,3.12,6.5,High,No,No,Male,100.0
11.1,89.8,2.59,7.1,Medium,Yes,No,Female,96.9
10.1,78.1,3.79,4.6,Medium,No,No,Male,97.7
11.3,83.3,2.97,5.5,Low,Yes,No,Male,98.2
11.7,95.4,3.06,7.0,Medium,No,No,Male,98.3
2.3,88.9,2.83,6.5,Low,No,Yes,Female,76.7
12.7,71.0,2.56,7.5,High,Yes,No,Male,99.0
6.1,91.6,2.27,5.4,Low,No,No,Male,79.3
4.2,74.2,3.32,7.9,Low,No,No,Male,80.3
9.8,99.1,2.61,5.5,High,No,Yes,Male,100.0
10.3,95.2,4.0,9.1,Low,Yes,No,Male,100.0
7.2,,2.46,4.8,Medium,No,No,Female,88.3
13.3,86.6,2.37,5.6,Medium,Yes,No,Female,100.0
4.6,82.9,3.26,7.5,Low,Yes,No,Female,80.1
8.4,91.8,3.76,9.2,Low,Yes,Yes,Female,97.7
7.7,81.3,3.03,7.4,Medium,No,No,Female,85.1
9.8,87.4,3.29,7.7,Low,Yes,No,Male,100.0
11.1,93.7,2.08,7.0,Low,No,Yes,Female,87.8
6.0,79.4,2.66,5.7,Low,Yes,No,Male,82.9
12.9,78.8,2.46,6.4,Medium,No,No,Female,89.9
10.3,73.1,2.05,5.4,Medium,Yes,Yes,Male,86.7
2.4,74.4,3.06,5.3,Low,No,No,Female,80.4
2.2,66.7,1.88,7.5,Medium,No,No,Male,67.8
10.0,92.3,2.34,5.5,Medium,Yes,No,Male,91.1
9.1,100.0,2.73,7.4,Low,Yes,No,Male,98.5
9.6,99.3,2.58,5.3,Medium,No,Yes,Female,95.3
9.9,68.7,3.2,7.4,High,No,No,Male,84.9
